jrn_importance: How important were each of these steps in determining your final purchase decision?,,Channel,fr_respondent net relative,fr_respondent absolute,fr_jrn_importance - average,fr_max_norm_resp%,fr_max_nor_imp_avg,fr_index,fr_dfm_by_chnl,it_respondent net relative,it_respondent absolute,it_jrn_importance - average,it_max_norm_resp%,it_max_nor_imp_avg,it_index,it_dfm_by_chnl,all_avge_index
In-store screen,Selection,O,0.66%,6,3,0.01,0.75,0.380,-0.107,0.46%,2,3.5,0.01,0.75,0.380,-0.107,0.380
Loyalty card,Selection,O,10.72%,97,4,0.15,1.00,0.574,0.087,10.88%,47,3.9,0.15,1.00,0.574,0.087,0.574
Mobile Phone,Selection,OD,1.33%,12,3.1,0.02,0.78,0.397,-0.073,3.01%,13,3.5,0.02,0.78,0.397,-0.073,0.397
On pack promotion,Selection,D,12.49%,113,3.7,0.17,0.93,0.548,0.083,18.06%,78,3.8,0.17,0.93,0.548,0.083,0.548
Packaging,Selection,D,32.49%,294,3.7,0.45,0.93,0.686,0.220,39.81%,172,4,0.45,0.93,0.686,0.220,0.686
Product display,Selection,O,2.32%,21,3.4,0.03,0.85,0.441,-0.045,6.48%,28,3.4,0.03,0.85,0.441,-0.045,0.441
Product Image,Selection,O,,,,0.00,0.00,0.000,-0.486,0%,0,-,0.00,0.00,0.000,-0.486,0.000
Promo stand,Selection,O,16.69%,151,3.8,0.23,0.95,0.590,0.103,24.07%,104,3.8,0.23,0.95,0.590,0.103,0.590
Push notification,Selection,O,2.32%,21,3.6,0.03,0.90,0.466,-0.020,4.17%,18,3.4,0.03,0.90,0.466,-0.020,0.466
Retailer circular,Selection,O,6.41%,58,3.8,0.09,0.95,0.519,0.033,16.90%,73,3.9,0.09,0.95,0.519,0.033,0.519
Shelf,Selection,D,33.04%,299,3.9,0.45,0.98,0.714,0.249,41.67%,180,4,0.45,0.98,0.714,0.249,0.714
Shelf communication,Selection,D,5.30%,48,3.2,0.07,0.80,0.436,-0.029,10.88%,47,3.7,0.07,0.80,0.436,-0.029,0.436
Traditional coupon,Selection,O,7.18%,65,3.8,0.10,0.95,0.524,0.038,8.33%,36,4.2,0.10,0.95,0.524,0.038,0.524
