jrn_importance: How important were each of these steps in determining your final purchase decision?,Phase,Channel,fr_respondent net relative,fr_respondent absolute,fr_jrn_importance - average,fr_max_norm_resp%,fr_max_nor_imp_avg,fr_index,fr_dfm_by_chnl,de_respondent net relative,de_respondent absolute,de_jrn_importance - average,de_max_norm_resp%,de_max_nor_imp_avg,de_index,de_dfm_by_chnl,it_respondent net relative,it_respondent absolute,it_jrn_importance - average,it_max_norm_resp%,it_max_nor_imp_avg,it_index,it_dfm_by_chnl,all_avge_index
Product detail page,Selection,O,,,,0.00,0.00,0.000,-0.276,1.01%,10,3.9,0.02,0.95,0.484,-0.053,,,,0.00,0.00,0.000,-0.280,0.161
Product display,Selection,O,1.98%,17,3.3,0.03,0.79,0.407,0.131,8.42%,83,3.7,0.14,0.90,0.523,-0.014,4.02%,33,3.3,0.06,0.80,0.432,0.152,0.454
Product Image,Selection,O,,,,0.00,0.00,0.000,-0.276,0.20%,2,4,0.00,0.98,0.490,-0.047,,,,0.00,0.00,0.000,-0.280,0.163
Promo stand,Selection,O,18.16%,156,3.7,0.26,0.88,0.570,0.294,20.79%,205,3.6,0.36,0.88,0.617,0.080,21.80%,179,3.7,0.32,0.90,0.610,0.330,0.599
Push notification,Selection,D,1.28%,11,3.2,0.02,0.76,0.390,0.055,4.16%,41,3.7,0.07,0.90,0.487,-0.001,1.34%,11,3.8,0.02,0.93,0.473,0.063,0.450
Retailer circular,Selection,O,8.03%,69,3.7,0.11,0.88,0.498,0.222,12.98%,128,3.7,0.22,0.90,0.562,0.025,17.17%,141,3.8,0.25,0.93,0.588,0.309,0.549
Retailer's website,Selection,O,,,,0.00,0.00,0.000,-0.276,1.83%,18,3.9,0.03,0.95,0.491,-0.046,,,,0.00,0.00,0.000,-0.280,0.164
Saved List,Selection,D,,,,0.00,0.00,0.000,-0.335,0.20%,2,3.8,0.00,0.93,0.465,-0.022,,,,0.00,0.00,0.000,-0.411,0.155
Search Bar,Selection,D,,,,0.00,0.00,0.000,-0.335,3.65%,36,4,0.06,0.98,0.519,0.032,,,,0.00,0.00,0.000,-0.411,0.173
Search engine,Selection,D,,,,0.00,0.00,0.000,-0.335,1.22%,12,3.9,0.02,0.95,0.486,-0.001,,,,0.00,0.00,0.000,-0.411,0.162
Shelf,Selection,O,33.53%,288,3.9,0.48,0.93,0.703,0.427,47.97%,473,3.9,0.82,0.95,0.885,0.349,36.54%,300,4,0.53,0.98,0.754,0.474,0.781
Shelf communication,Selection,O,6.87%,59,3.5,0.10,0.83,0.466,0.190,12.68%,125,3.4,0.22,0.83,0.523,-0.014,8.16%,67,3.4,0.12,0.83,0.474,0.194,0.488
Traditional coupon,Selection,O,5.01%,43,4.1,0.07,0.98,0.524,0.248,5.17%,51,3.9,0.09,0.95,0.520,-0.017,8.40%,69,4,0.12,0.98,0.549,0.269,0.531
Website Menu,Selection,D,,,,0.00,0.00,0.000,-0.335,,,,0.00,0.00,0.000,-0.487,,,,0.00,0.00,0.000,-0.411,0.000
Fridge,Selection,O,,,,0.00,0.00,0.000,-0.276,3.75%,37,3.7,0.06,0.90,0.483,-0.054,6.09%,50,3.6,0.09,0.88,0.483,0.204,0.322
